track_name,mbz_id,fname,instrument,center,backtrack,f_score,iterations,time,max_size,wait,delta,pre_max,post_max,pre_avg,post_avg
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,drums,True,False,0.774278215223097,4,03-08-23_20-03-23,5,10,0.05,16,5,5,5
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,drums,True,False,0.9056,4,03-08-23_20-03-15,5,10,0.05,16,5,5,5
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,drums,True,False,0.7526132404181185,4,03-08-23_20-03-09,5,10,0.05,16,5,5,5
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,drums,True,False,0.6354334948842219,4,03-08-23_20-03-24,5,10,0.05,16,5,5,5
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,drums,True,False,0.7974867085548575,4,03-08-23_20-03-27,5,10,0.05,16,5,5,5
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,drums,True,False,0.36569579288025894,4,03-08-23_20-03-13,5,10,0.05,16,5,5,5
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,drums,True,False,0.8262773722627736,4,03-08-23_20-03-18,5,10,0.05,16,5,5,5
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,drums,True,False,0.5939139559286464,5,03-08-23_20-03-52,5,14,0.05,16,5,5,5
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,drums,True,False,0.5789883268482491,5,03-08-23_20-03-55,5,14,0.05,16,5,5,5
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,drums,True,False,0.831168831168831,5,03-08-23_20-03-46,5,14,0.05,16,5,5,5
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,drums,True,False,0.7747866053841104,5,03-08-23_20-03-49,5,14,0.05,16,5,5,5
