accuracy,iteration,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0.4766666666666667,150,21,10,10,log2,19,False
0.5,139,637,5,7,sqrt,47,True
0.38666666666666666,149,135,9,3,,13,False
0.54,148,445,5,3,sqrt,46,False
0.34,137,862,3,8,,26,False
0.5433333333333333,140,873,3,4,sqrt,61,False
0.4866666666666667,151,388,6,9,log2,90,True
0.5033333333333333,141,855,7,7,log2,82,True
0.37,147,620,6,7,,50,False
0.5033333333333333,154,380,5,5,sqrt,29,True
0.39666666666666667,138,911,2,2,,63,False
0.37,153,482,5,7,,56,False
0.54,145,888,6,3,log2,85,True
0.49333333333333335,152,556,10,10,,24,True
0.5366666666666666,146,946,3,3,sqrt,97,True
0.49666666666666665,161,162,4,8,sqrt,36,False
0.36666666666666664,164,136,10,7,,70,False
0.39,155,592,4,7,log2,2,True
0.5333333333333333,160,327,6,4,sqrt,12,True
0.5066666666666667,156,551,6,5,sqrt,82,True
0.37666666666666665,157,412,8,5,,82,False
0.5033333333333333,171,81,10,4,sqrt,35,False
0.49666666666666665,169,248,2,9,log2,85,True
0.5166666666666667,162,482,3,1,log2,27,False
0.53,170,298,5,4,,82,True
0.54,159,776,8,4,log2,29,True
0.49666666666666665,175,154,2,8,sqrt,24,False
0.5233333333333333,163,592,10,4,,21,True
0.52,166,553,2,8,log2,36,False
0.34,168,457,8,9,,60,False
0.52,167,494,3,4,,89,True
0.53,176,183,4,6,sqrt,79,False
0.5333333333333333,173,424,10,4,log2,79,True
0.31666666666666665,158,877,10,8,,5,False
0.54,174,470,2,4,log2,87,True
0.53,178,305,6,6,sqrt,87,False
0.5033333333333333,172,720,2,9,log2,15,False
0.37333333333333335,186,17,2,5,,89,False
0.5666666666666667,165,973,3,1,sqrt,66,True
0.5,189,16,6,3,sqrt,100,False
0.53,182,335,8,1,log2,63,False
0.49333333333333335,187,128,8,8,sqrt,68,False
0.38333333333333336,181,375,3,4,,8,False
