track_name,mbz_id,fname,instrument,f_score,iterations,time,threshold,smooth,pre_avg,post_avg,pre_max,post_max
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,piano,0.9107222969941678,0,07-05-24_18-55-20,0.54,0.05,0.0,0.0,0.01,0.01
Between the Devil and the Deep Blue Sea,7e485343-1cb9-4798-acc0-c35320949854,jarrettk-betweenthedevilandthe-peacockgdejohnettej-2009-7e485343,piano,0.9474598349978288,0,07-05-24_18-55-29,0.54,0.05,0.0,0.0,0.01,0.01
With Malice Towards None,d5c51907-81dd-42d8-9e78-956ff9f0d28e,hicksj-withmalicetowardsnone-bookerwmuhammadi-1981-d5c51907,piano,0.9026217228464419,0,07-05-24_18-55-26,0.54,0.05,0.0,0.0,0.01,0.01
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,piano,0.9468926553672317,0,07-05-24_18-55-29,0.54,0.05,0.0,0.0,0.01,0.01
Fly Little Bird Fly,e3e5bd4a-a7c4-4b49-8308-c63420605332,hicksj-flylittlebirdfly-williamsbhayesl-2006-e3e5bd4a,piano,0.9084380610412927,0,07-05-24_18-55-25,0.54,0.05,0.0,0.0,0.01,0.01
Back Home Again in Indiana,b0e03bf2-6c3d-48e7-aa7c-ab321ae8a459,petersono-backhomeagaininindiana-kingawilkinsonm-1947-b0e03bf2,piano,0.962085308056872,0,07-05-24_18-55-04,0.54,0.05,0.0,0.0,0.01,0.01
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,piano,0.8743961352657006,0,07-05-24_18-55-12,0.54,0.05,0.0,0.0,0.01,0.01
The Man I Love,20c60566-3170-41b9-992c-a3062948fca6,petersono-themanilove-orstedndrewm-1984-20c60566,piano,0.9345991561181434,0,07-05-24_18-55-14,0.54,0.05,0.0,0.0,0.01,0.01
Sweet Georgia Brown,25a7592c-4709-4429-9ca9-7070b32c7f25,powellb-sweetgeorgiabrown-russellcroachm-1950-25a7592c,piano,0.8801071667782986,0,07-05-24_18-55-23,0.54,0.05,0.0,0.0,0.01,0.01
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,piano,0.9456681350954479,0,07-05-24_18-55-26,0.54,0.05,0.0,0.0,0.01,0.01
Rifftide,8a86e370-95b2-48d1-8346-7664ab9f2b7f,powellb-rifftide-orstednschiopffew-1962-8a86e370,piano,0.8851063829787232,0,07-05-24_18-55-28,0.54,0.05,0.0,0.0,0.01,0.01
Blues for Gwen,72d0306f-d3ed-4332-9d59-1c22271568d7,tynerm-bluesforgwen-davisajonese-1962-72d0306f,piano,0.965992251399053,1,07-05-24_18-56-42,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,piano,0.8910891089108911,1,07-05-24_18-56-36,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
TraneLike,f61d311f-067d-4ff3-986f-ac91a571a381,tynerm-tranelike-clarkesfostera-1998-f61d311f,piano,0.9589422407794016,1,07-05-24_18-56-28,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Someday My Prince Will Come,709cf40e-fd3f-4af7-9028-d96c90741cce,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,piano,0.9528158295281582,1,07-05-24_18-56-41,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,piano,0.9610189116171362,1,07-05-24_18-56-43,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Shuffle Boil,3a37bdb6-b048-480b-b367-43d0f60e2313,barronk-shuffleboil-kitagawakblakej-2015-3a37bdb6,piano,0.9275,1,07-05-24_18-56-06,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Just Friends,0469f84b-0b9d-4e06-8c82-8d634fd8e8e1,flanagant-justfriends-tuckerbbaileyd-1961-0469f84b,piano,0.935064935064935,1,07-05-24_18-56-29,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,piano,0.9454545454545454,1,07-05-24_18-56-14,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Birdsong,1538c8eb-ccd3-4df9-9680-2f866b90ebef,flanagant-birdsong-washingtonpnashl-1997-1538c8eb,piano,0.9295655841417123,1,07-05-24_18-56-44,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Ralphs New Blues,7dfd6f62-eb98-4ab1-a82a-faffdc919479,mancej-ralphsnewblues-tuckerbthomasb-1960-7dfd6f62,piano,0.9031078610603291,1,07-05-24_18-56-00,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,piano,0.8434782608695651,1,07-05-24_18-56-33,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Broadway,97763166-9e4b-426b-9bcc-8cf687051dfe,mancej-broadway-tanakahwilliamsj-2007-97763166,piano,0.9588336192109777,1,07-05-24_18-56-37,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Spring Will Be a Little Late This Year,828208f2-3ae0-4de4-878c-ffd8f7cda68c,jamala-springwillbealittle-crosbyiperkinsw-1955-828208f2,piano,0.8934426229508197,1,07-05-24_18-55-58,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,piano,0.9022298456260721,1,07-05-24_18-56-06,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Milan,16ff9b1f-39ac-4116-83a7-17ae46b76cc5,jamala-milan-cammackjmuhammadi-2004-16ff9b1f,piano,0.9347079037800687,1,07-05-24_18-56-21,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
No Cover No Minimum,f675dc4a-15fd-44f2-b929-9908d878a3b0,evansb-nocovernominimum-koticktmotianp-1956-f675dc4a,piano,0.954985754985755,1,07-05-24_18-56-38,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
