0.215510204	asdf
0.527346939	asdf
0.814693878	asdf
1.120000000	asdf
1.430204082	asdf
1.706122449	asdf
1.993469388	asdf
2.259591837	asdf
2.571428571	asdf
2.897959184	asdf
3.196734694	asdf
3.497142857	asdf
3.773061224	asdf
4.088163265	asdf
4.368979592	asdf
4.644897959	asdf
4.925714286	2.3
5.182040816	2.4
5.489818594	3.1
5.784557823	3.2
6.093061224	3.3
6.375510204	3.4
6.695510204	4.1
6.995918367	4.2
7.250612245	4.3
7.542857143	4.4
7.846530612	5.1
8.122448980	5.2
8.421224490	5.3
8.720000000	5.4
9.035102041	6.1
9.297392290	6.2
9.614693878	6.3
9.898775510	6.4
10.218775510	7.1
10.488163265	7.2
10.786938776	7.3
11.087346939	7.4
11.376326531	8.1
11.675102041	8.2
11.949387755	8.3
12.240000000	8.4
12.524081633	9.1
12.817959184	9.2
13.120000000	9.3
13.418775510	9.4
13.702857143	10.1
13.995102041	10.2
14.295510204	10.3
14.571428571	10.4
14.866938776	11.1
15.142857143	11.2
15.441632653	11.3
15.727346939	11.4
16.022857143	12.1
16.324897959	12.2
16.597551020	12.3
16.889795918	12.4
17.183673469	13.1
17.482448980	13.2
17.771428571	13.3
18.057142857	13.4
18.367460317	14.1
18.631836735	14.2
18.909387755	14.3
19.214625850	14.4
19.510204082	15.1
19.787755102	15.2
20.097845805	15.3
20.383673469	15.4
20.679183673	16.1
20.974693878	16.2
21.240816327	asdf
21.551020408	16.3
21.841632653	16.4
22.120816327	17.1
22.421224490	17.2
22.720000000	17.3
22.997551020	17.4
23.311020408	18.1
23.595102041	18.2
23.872653061	18.3
24.172993197	18.4
24.462517007	19.1
24.767346939	19.2
25.067755102	19.3
25.364897959	19.4
25.658775510	20.1
25.957551020	20.2
26.231836735	20.3
26.520816327	20.4
26.806530612	21.1
27.095510204	21.2
27.374399093	21.3
27.616326531	21.4
27.908571429	22.1
28.207346939	22.2
28.493061224	22.3
28.782040816	22.4
29.077551020	23.1
29.335510204	23.2
29.608163265	23.3
29.877551020	23.4
30.190181406	24.1
30.491428571	24.2
30.780408163	24.3
31.081768707	24.4
31.348571429	25.1
31.646575964	25.2
31.890612245	25.3
32.169795918	25.4
32.431020408	26.1
32.672653061	26.2
32.966530612	26.3
33.278367347	26.4
33.580544218	27.1
33.865691610	27.2
34.150272109	27.3
34.445260771	27.4
34.724603175	28.1
35.023673469	28.2
35.299591837	28.3
35.583673469	28.4
35.885714286	29.1
36.184489796	29.2
36.457142857	29.3
36.740770975	29.4
37.040000000	30.1
37.325215420	30.2
37.582040816	30.3
37.893877551	30.4
38.187551020	31.1
38.452063492	31.2
38.755328798	31.3
39.010181406	31.4
39.301496599	32.1
39.582811791	32.2
39.872585034	32.3
40.176326531	32.4
40.489954649	33.1
40.778775510	33.2
41.038798186	33.3
41.318503401	33.4
41.604897959	34.1
41.872653061	34.2
42.182857143	34.3
42.479931973	34.4
42.761292517	35.1
43.056099773	35.2
43.342040816	35.3
43.627755102	35.4
43.908571429	36.1
44.190634921	36.2
44.462879819	36.3
44.752857143	36.4
45.046530612	37.1
45.338775510	37.2
45.642448980	37.3
45.939591837	37.4
46.217142857	38.1
46.514285714	38.2
46.795102041	38.3
47.082448980	38.4
47.356734694	39.1
47.675102041	39.2
47.957551020	39.3
48.262857143	39.4
48.539546485	40.1
48.827755102	40.2
49.131428571	40.3
49.429319728	40.4
49.707755102	41.1
50.016213152	41.2
50.304512472	41.3
50.576326531	41.4
50.881632653	42.1
51.170612245	42.2
51.479183673	42.3
51.769795918	42.4
52.055510204	43.1
52.354285714	43.2
52.641632653	43.3
52.930612245	43.4
53.216326531	44.1
53.516734694	44.2
53.804081633	44.3
54.102857143	44.4
54.408163265	45.1
54.687346939	45.2
54.995918367	45.3
55.278367347	45.4
55.568979592	46.1
55.869387755	46.2
56.140408163	46.3
56.447346939	46.4
56.737959184	47.1
57.043265306	47.2
57.319183673	47.3
57.650612245	47.4
57.937959184	48.1
58.223673469	48.2
58.501224490	48.3
58.798367347	48.4
59.076462585	49.1
59.391020408	49.2
59.675102041	49.3
59.983673469	49.4
60.277551020	50.1
60.576326531	asdf
60.876734694	asdf
61.136326531	asdf
61.423673469	asdf
61.697959184	asdf
61.982040816	asdf
62.303673469	asdf
62.622040816	asdf
62.917551020	asdf
63.201632653	asdf
63.505306122	52.4
63.774693878	53.1
64.075102041	53.2
64.334693878	53.3
64.610657596	53.4
64.899659864	54.1
65.206530612	54.2
65.490612245	54.3
65.789387755	54.4
66.099591837	55.1
66.388571429	55.2
66.690612245	55.3
66.964897959	55.4
67.268571429	56.1
67.532494331	56.2
67.812244898	56.3
68.101224490	56.4
68.397324263	57.1
68.684081633	57.2
68.979591837	57.3
69.265306122	57.4
69.541224490	58.1
69.835102041	58.2
70.119183673	58.3
70.429387755	58.4
70.711836735	59.1
71.013877551	59.2
71.299591837	59.3
71.583673469	59.4
71.884081633	60.1
72.179591837	60.2
72.470204082	60.3
72.783673469	60.4
73.059591837	61.1
73.342040816	61.2
73.645714286	61.3
73.955918367	61.4
74.243265306	62.1
74.530612245	62.2
74.829387755	62.3
75.124897959	62.4
75.423673469	63.1
75.709387755	63.2
75.996734694	63.3
76.265306122	63.4
76.573061224	64.1
76.899591837	64.2
77.167346939	64.3
77.448163265	64.4
77.737142857	65.1
78.014693878	65.2
78.297142857	65.3
78.602448980	65.4
78.863673469	asdf
