0.066757370	New Point
0.240907029	New Point
0.415056689	New Point
0.593560091	New Point
0.757551020	New Point
0.938956916	New Point
1.114557823	DB
1.301768707	New Point
1.454149660	New Point
1.639909297	New Point
1.812607710	New Point
1.998367347	1.1
2.173968254	1.2
2.346666667	1.3
2.510657596	1.4
2.692063492	2.1
2.869115646	2.2
3.044716553	2.3
3.213061224	2.4
3.388662132	3.1
3.575873016	3.2
3.755827664	3.3
3.916916100	4.1
4.085260771	4.2
4.288435374	4.3
4.449523810	4.4
4.629478458	5.1
4.806122449	5.3
4.979229025	5.4
5.150476190	6.1
5.330430839	6.2
5.494421769	6.3
5.680181406	6.4
5.849977324	7.1
6.025578231	7.2
6.199727891	7.3
6.389841270	8.1
6.566394558	8.2
6.730884354	8.3
6.912290249	8.4
7.090793651	9.1
7.259138322	9.2
7.436190476	9.4
7.611882086	10.1
7.793197279	10.2
7.968798186	10.3
8.147301587	10.4
8.315646259	11.1
8.494149660	11.2
8.658140590	11.4
8.830249433	12.1
9.004988662	12.2
9.186394558	12.3
9.363446712	12.4
9.552108844	13.2
9.726258503	13.3
9.893151927	13.4
10.064399093	14.1
10.213877551	14.2
10.395283447	14.3
10.552018141	14.4
10.730521542	15.1
10.924988662	15.3
11.087528345	15.4
11.247165533	16.1
11.445986395	16.2
11.596916100	16.3
11.778321995	16.4
11.927800454	17.1
12.088888889	17.2
12.242721088	17.3
12.425578231	17.4
12.601179138	18.1
12.770975057	18.2
12.961088435	18.3
13.146530612	18.4
13.310340136	19.1
13.490793651	19.2
13.660589569	19.3
13.827482993	19.4
14.008888889	20.1
14.168526077	20.2
14.341224490	20.3
14.534240363	20.4
14.704036281	21.1
14.870929705	21.2
15.056689342	21.3
15.219229025	22.1
15.387573696	22.2
15.563174603	22.3
15.728616780	22.4
15.921224490	23.1
16.084172336	23.2
16.258321995	23.3
16.436825397	23.4
16.597913832	24.2
16.770612245	24.3
16.947664399	24.4
17.125147392	25.1
17.300317460	25.2
17.477369615	25.3
17.652970522	25.4
17.821315193	26.1
17.991111111	26.2
18.171065760	26.3
18.339410431	27.1
18.510657596	27.2
18.683356009	27.3
18.853151927	27.4
19.037460317	28.1
19.207256236	28.2
19.369795918	28.3
19.546848073	28.4
19.715192744	29.1
19.914013605	29.3
20.082358277	29.4
20.253605442	30.1
20.429206349	30.2
20.603356009	30.3
20.771700680	30.4
20.958911565	31.1
21.127256236	31.2
21.302857143	31.3
21.477006803	31.4
21.646802721	32.1
21.816598639	32.2
22.019773243	32.4
22.175056689	33.1
22.344852608	33.2
22.519002268	33.3
22.693151927	33.4
22.862947846	34.1
23.029841270	34.3
23.202539683	34.4
23.349115646	35.1
23.539229025	35.2
23.701768707	35.3
23.883174603	35.4
24.070385488	36.1
24.254693878	36.2
24.422040816	36.3
24.602993197	36.4
24.765532880	37.1
24.941133787	37.2
25.110929705	37.3
25.286530612	37.4
25.469387755	38.1
25.642086168	38.2
25.808979592	38.3
25.987482993	38.4
26.161632653	39.1
26.332879819	39.2
26.508480726	39.3
26.678276644	39.4
26.856780045	40.1
27.032380952	40.2
27.205079365	40.3
27.367619048	40.4
27.547573696	41.1
27.711564626	41.2
27.887165533	41.3
28.056961451	41.4
28.226757370	42.1
28.413968254	42.2
28.580861678	42.4
28.750657596	43.1
28.921904762	43.2
29.106213152	43.3
29.284716553	43.4
29.451609977	44.1
29.621405896	44.2
29.801360544	44.3
29.965351474	44.4
30.143854875	45.1
30.320907029	45.2
30.471836735	45.3
30.653242630	45.4
30.824489796	46.1
30.989931973	46.2
31.169886621	46.3
31.341133787	46.4
31.519637188	47.1
31.683628118	47.2
31.853424036	47.3
32.020317460	47.4
32.190113379	48.1
32.374421769	48.2
32.550022676	48.3
32.734331066	48.4
32.914285714	49.1
33.082630385	49.2
33.237913832	49.3
33.412063492	49.4
33.572131519	50.1
33.753106576	50.2
33.912743764	50.3
34.111950113	50.4
34.250884354	51.1
34.404716553	51.2
34.571609977	51.3
34.735600907	51.4
34.911201814	52.1
35.099863946	52.2
35.272562358	52.3
35.442358277	52.4
35.610702948	53.1
35.795011338	53.2
35.940136054	53.3
36.117188209	53.4
36.291337868	54.1
36.468390023	54.2
36.629478458	54.3
36.809433107	New Point
36.993287982	54.4
37.156190476	55.1
37.334784580	55.2
37.506031746	55.3
37.656961451	55.4
37.831111111	56.1
38.008163265	56.2
38.192471655	56.3
38.350657596	56.4
38.530612245	57.1
38.700408163	57.2
38.871655329	57.3
39.038548753	57.4
39.231156463	58.1
